2018年10月22日	センスを爆発させろ！秋の芸術ゲーム大会 後半戦
2018年10月29日	ゲームに負けたら罰コスプレ 強制ハロウィーンパーティー
2018年11月5日	乃木坂46 B級ニュース大賞2018
2018年11月12日	22ndシングルヒット祈願 前編
2018年11月19日	22ndシングルヒット祈願 後半戦
2018年11月26日	絶叫部プレゼンツ ビビリクイーン決定戦
2018年12月3日	絶叫部プレゼンツ ビビリクイーン決定戦 後半戦
2018年12月10日	私のために頑張って! 3期生代理戦争バトル / 4期生お見立て会
2018年12月17日	私のために頑張って! 3期生代理戦争バトル 後半戦
2018年12月24日	1期生 合同卒業式
2019年1月7日	設楽軍VS日村軍 乃木坂新春ゲーム大会
2019年1月14日	設楽軍VS日村軍 乃木坂新春ゲーム大会 延長戦! 未公開SP
2019年1月21日	4期生 売り込みショー!
2019年1月28日	第2回 4期生 売り込みショー!
2019年2月4日	4期生 売り込みショー 最終章!
2019年2月11日	祝!8年目突入 ファンが出題! 番組名場面クイズ大会
2019年2月18日	祝!8年目突入 ファンが出題! 番組名場面クイズ大会 後半戦!
2019年2月25日	祝!8年目突入 ファンが出題! 番組名場面クイズ大会 完全編!
2019年3月4日	トラペジウム大ヒット記念 勝手に演技力研修
2019年3月11日	トラペジウム大ヒット記念　勝手に演技力研修 後半戦 / 乃木坂46 7th YEAR BIRTHDAY 西野七瀬卒業コンサート
2019年3月18日	ニュー運動音痴スターを探せ! 4期生 体力測定
2019年3月25日	ニュー運動音痴スターを探せ! 4期生 体力測定 後半戦
2019年4月1日	罰ポイント清算沖縄ツアー①
2019年4月8日	罰ポイント清算沖縄ツアー②
2019年4月15日	罰ポイント清算沖縄ツアー③ / 23枚目シングル選抜メンバー
2019年4月22日	罰ポイント清算沖縄ツアー④ 
2019年4月29日	罰ポイント清算ツアーin沖縄 最下位与田のハブ退治
2019年5月6日	1期生にイッキに追いつけ! 強制 下克上対決 / 団結力対決
2019年5月13日	1期生にイッキに追いつけ! 強制 下克上対決 / 絵心対決
2019年5月20日	1期生にイッキに追いつけ! 強制 下克上対決 / 絵心対決
2019年5月27日	23rdシングルヒット祈願キャンペーン
2019年6月3日	23rdシングルヒット祈願キャンペーン 後半編 / 横浜アリーナでのMV撮影
2019年6月10日	23rdシングルヒット祈願キャペーン 延長戦
2019年6月17日	改めて知って欲しい! 2期生のいいところ
2019年6月24日	改めて知って欲しい! 2期生のいいところ 後編
2019年7月1日	令和の運勢を占え! 令-1グランプリ
2019年7月8日	これなら語れるグランプリ2019
2019年7月15日	これなら語れるグランプリ2019 / 24枚目シングル選抜メンバー
2019年7月22日	私のコトを知ってください! 24th新選抜クイズ
2019年7月29日	乃木坂46 真夏の恐怖体験2019
2019年8月5日	乃木坂46 真夏の恐怖体験2019 後半
2019年8月12日	1カ月ぐらいでこれやります! 乃木坂46夏休みの目標発表会
2019年8月19日	不幸話グランプリ! 2019
2019年8月26日	不幸話グランプリ! 2019 後半戦
2019年9月2日	汗と涙のヒット祈願の歴史 過酷な名場面集
2019年9月9日	真夏の全国ツアー2019 明治神宮野球場公演にバナナマンが潜入!
2019年9月16日	真夏の全国ツアー2019 明治神宮野球場公演にバナナマンが潜入! 後編
2019年9月23日	24thシングルヒット祈願 キャンペーン
2019年9月30日	24thシングルヒット祈願 キャンペーン 後編
2019年10月7日	乃木坂46 秋の四つ巴対決
2019年10月14日	乃木坂46 秋の四つ巴対決 後半戦
2019年10月21日	1カ月ぐらいでこれやります! 乃木坂46 みんなの目標発表会 2019
2019年10月28日	1カ月ぐらいでこれやります! 乃木坂46 みんなの目標発表会 2019 後半
2019年11月4日	1カ月ぐらいでこれやります! 乃木坂46 みんなの目標発表会 2019 完結編
2019年11月11日	乃木坂46 VTR QUEEN決定戦
2019年11月18日	乃木坂46 VTR QUEEN決定戦 中編
2019年11月25日	乃木坂46 VTR QUEEN決定戦 完結編
2019年12月2日	遅ればせながら･･･ 新キャプテン 秋元真夏をお祝いしよう! 後編
2019年12月9日	乃木坂46 B級ニュース大賞2019
2019年12月16日	乃木坂46 B級ニュース大賞2019 中編
2019年12月23日	乃木坂46 B級ニュース大賞2019 後編
2020年1月6日	設楽軍 ご褒美 爆買いツアー!
2020年1月13日	設楽軍 ご褒美 爆買いツアー! 完結編
2020年1月20日	ズッキュン王国のハチャメチャパーティー
2020年1月27日	9年目突入! 今、話したい家族がいる2020
2020年2月3日	9年目突入! 今、話したい家族がいる2020 後半戦 / 25枚目シングル選抜メンバー
2020年2月10日	妄想恋愛グランプリ2020
2020年2月17日	世代間ギャップバトル
2020年2月24日	世代間ギャップバトル 後半戦
2020年3月2日	第1回 オススメクイーン決定戦！
2020年3月9日	第1回 オススメクイーン決定戦！ 完結編！
2020年3月16日	団結力バトル!2020
2020年3月23日	団結力バトル!2020 完結編
2020年3月30日	この後どうなっていたでしょう?
2020年4月6日	ようこそ!乃木坂46 新4期生年表
2020年4月13日	乃木坂46 8th YEAR Birthday Live inナゴヤドーム
2020年4月20日	白石麻衣の卒業前に・・・全てのモヤモヤを解決しておこう
2020年4月27日	白石麻衣の卒業前に・・・全てのモヤモヤを解決しておこう 後半戦
2020年5月4日	設楽工事中
2020年5月11日	日村工事中
2020年5月18日	乃木坂46VSバナナマン
2020年5月25日	離れていても心はひとつ! リモート工事中!
2020年6月1日	離れていても心はひとつ! リモート工事中!（2）
2020年6月8日	ここがターニングポイント 私の神回
2020年6月14日	ここがターニングポイント 私の神回（2）
2020年6月22日	もってけ泥棒!日村なんでも廃品回収2020
